a,b,c,t,e,et
0.8,1500,3,0.0,0.0,9.53296456676443
0.8,1500,3,0.5,4.58885949757244,8.82247342352533
0.8,1500,3,1.0,8.82247342352533,7.88883376543916
0.8,1500,3,1.5,12.4776932630116,6.874390964313369
0.8,1500,3,2.0,15.6968643878387,6.030000919933
0.8,1500,3,2.5,18.5076941829446,5.240924621524
0.8,1500,3,3.0,20.9377890093627,4.507215140556198
0.8,1500,3,3.5,23.0149093235008,3.8288356551706
0.8,1500,3,4.0,24.7666246645333,3.2058300175472
0.8,1500,3,4.5,26.220739341048,2.638207177388999
0.8,1500,3,5.0,27.4048318419223,2.1259359875025012
0.8,1500,3,5.5,28.3466753285505,1.6691607564244002
0.8,1500,3,6.0,29.0739925983467,1.2676539171580004
0.8,1500,3,6.5,29.6143292457085,0.9220895205471002
0.8,1500,3,7.0,29.9960821188938,0.6311708095771991
0.8,1500,3,7.5,30.2455000552857,0.39293551532909987
0.8,1500,3,8.0,30.3890176342229,0.22030638917490108
0.8,1500,3,8.5,30.4658064444606,0.0937677244466002
0.8,1500,3,9.0,30.4827853586695,0.018113980752598735
0.8,1500,3,9.5,30.4839204252132,0.00012296575060233295
0.8,1500,3,10.0,30.4829083244201,-0.004171368922985863
0.8,1500,4,0.0,0.0,16.6159288628141
0.8,1500,4,0.5,7.9559604710852,15.2079130215267
0.8,1500,4,1.0,15.2079130215267,13.712841695478199
0.8,1500,4,1.5,21.6688021665634,11.8779677152055
0.8,1500,4,2.0,27.0858807367322,9.9129188408649
0.8,1500,4,2.5,31.5817210074283,8.1840983777265
0.8,1500,4,3.0,35.2699791144587,6.675218384331501
0.8,1500,4,3.5,38.2569393917598,5.3698778887957985
0.8,1500,4,4.0,40.6398570032545,4.252084963083696
0.8,1500,4,4.5,42.5090243548435,3.3061234738081993
0.8,1500,4,5.0,43.9459804770627,2.516206693147005
0.8,1500,4,5.5,45.0252310479905,1.8674107141861
0.8,1500,4,6.0,45.8133911912488,1.3442071234799968
0.8,1500,4,6.5,46.3694381714705,0.9325972252701007
0.8,1500,4,7.0,46.7459884165189,0.6172176458916994
0.8,1500,4,7.5,46.9866558173622,0.3843648147677001
0.8,1500,4,8.0,47.1303532312866,0.2273041798394999
