Entity,tag,Relationship,target
"褐煤","原煤种类","相对高","原煤灰分"
"亚烟煤","原煤种类","相对较高","原煤灰分"
"烟煤","原煤种类","相对较低","原煤灰分"
"无烟煤","原煤种类","相对低","原煤灰分"
"褐煤","原煤种类","相对低","发热量"
"亚烟煤","原煤种类","相对较低","发热量"
"烟煤","原煤种类","相对较高","发热量"
"无烟煤","原煤种类","相对高","发热量"
"褐煤","原煤种类","分选密度小于y","合格精煤灰分"
"亚烟煤","原煤种类","分选密度小于y","合格精煤灰分"
"烟煤","原煤种类","分选密度小于y","合格精煤灰分"
"无烟煤","原煤种类","分选密度小于y","合格精煤灰分"
"褐煤","原煤种类","分选密度大于y","不合格精煤灰分"
"亚烟煤","原煤种类","分选密度大于y","不合格精煤灰分"
"烟煤","原煤种类","分选密度大于y","不合格精煤灰分"
"无烟煤","原煤种类","分选密度大于y","不合格精煤灰分"
"褐煤","原煤种类","分选密度大于y","合格尾煤灰分"
"亚烟煤","原煤种类","分选密度大于y","合格尾煤灰分"
"烟煤","原煤种类","分选密度大于y","合格尾煤灰分"
"无烟煤","原煤种类","分选密度大于y","合格尾煤灰分"
"褐煤","原煤种类","分选密度小于y","不合格尾煤灰分"
"亚烟煤","原煤种类","分选密度小于y","不合格尾煤灰分"
"烟煤","原煤种类","分选密度小于y","不合格尾煤灰分"
"无烟煤","原煤种类","分选密度小于y","不合格尾煤灰分"
"褐煤","原煤种类","分选密度小于y",""
"亚烟煤","原煤种类","分选密度小于y",""
"烟煤","原煤种类","分选密度小于y",""
"无烟煤","原煤种类","分选密度小于y",""
